Asin,Deal Type,Uplift,Incremental Profit/Loss During Deal,Profit/Loss From Deal,Deal Discount Costs,Profit Before Deal (30 Days),Profit During Deal,Profit After Deal (30 Days),Units Before Deal (30 Days),Units During Deal,Units After Deal (30 Days),Price Of Unit Before Deal,Price Of Unit During Deal,Price Of Unit After Deal
B01IRCAUXO,BEST_DEAL,N,Y,5304.903225806452,2058.0,96.43,766.5,73.33,1.0,11.38,0.63,135.0,111.15,148.75
B0B1SH63LY,BEST_DEAL,N,Y,523.9032258064517,421.0,221.67,284.88,192.0,1.37,1.88,1.07,270.0,237.0,270.0
B0B1SFJZQW,BEST_DEAL,N,N,-86.12903225806485,702.0,236.13,226.42,47.38,3.1,3.62,0.57,130.0,104.0,130.0
B0B1SFMRLS,BEST_DEAL,Y,Y,79.61290322580645,72.0,14.0,23.5,19.6,0.8,1.62,1.13,30.0,24.0,30.0
B09VCSSQY1,BEST_DEAL,Y,Y,5089.763440860217,6936.0,1397.4,2037.17,1938.38,13.6,25.62,20.03,170.0,136.0,170.0
B0B1S5XCDM,BEST_DEAL,N,Y,26.387096774193537,70.0,17.69,20.42,17.56,0.57,0.88,0.57,50.0,40.0,50.0
B0B1SCTJJB,BEST_DEAL,N,Y,182.6451612903226,150.0,24.2,46.25,23.07,0.7,1.62,0.67,60.0,48.0,60.0
B0B1S1N68R,BEST_DEAL,N,N,-347.61290322580646,96.0,79.0,33.0,48.93,2.1,1.12,1.33,60.0,48.0,60.0
B09Y687VY2,LIGHTNING_DEAL,N,Y,52.58064516129048,390.0,139.0,142.92,141.06,4.8,5.75,4.77,50.0,40.0,50.0
B0B1S3MV1K,BEST_DEAL,N,Y,730.8172043010754,-102.0,164.71,250.75,284.88,1.57,2.62,2.67,136.0,136.0,170.0
B0B1SCRNV2,BEST_DEAL,N,N,-82.58064516129033,48.0,25.13,14.0,23.33,1.47,1.0,1.27,30.0,24.0,30.0
B0B1S4VK58,BEST_DEAL,Y,Y,800.0322580645161,189.0,64.0,163.88,187.6,1.07,3.12,3.67,90.0,81.0,90.0
B09Y6853X6,BEST_DEAL,N,N,-125.19354838709683,231.0,89.2,71.12,74.8,5.1,5.0,3.8,30.0,24.0,30.0
B09VCSHWBD,BEST_DEAL,N,N,-1430.7096774193542,2880.0,1079.4,900.0,820.8,20.4,21.0,15.7,90.0,72.0,90.0
B0B1SK66VH,BEST_DEAL,N,Y,82.27956989247326,140.0,37.18,49.17,27.96,1.23,2.0,1.07,50.0,40.0,50.0
B09Y69QQJP,BEST_DEAL,Y,Y,50.193548387096826,732.0,201.0,203.5,222.4,5.7,7.38,6.23,60.0,48.0,60.0
B0B1RXQ1LD,LIGHTNING_DEAL,N,N,-702.8387096774193,116.0,163.77,75.5,144.67,1.0,0.5,0.93,270.0,241.0,245.0
B09VCT6WGM,BEST_DEAL,Y,Y,2583.7849462365593,676.0,291.78,630.5,720.32,3.37,8.25,9.73,130.0,117.0,130.0
B0B1SD12R6,BEST_DEAL,Y,Y,776.2795698924738,2006.0,547.67,655.92,525.11,5.4,8.0,5.53,170.0,136.0,170.0
B0B1SFDGY7,BEST_DEAL,N,N,-425.2903225806451,288.0,154.43,99.0,113.4,2.87,2.25,2.2,90.0,72.0,90.0
B0B1S7NN9G,BEST_DEAL,Y,Y,324.7204301075268,117.0,54.89,93.71,95.76,0.63,1.25,1.23,130.0,117.0,130.0
B01IRCAT8A,BEST_DEAL,Y,N,-28.51612903225808,-28.0,17.63,15.5,22.7,0.33,0.25,0.37,72.0,86.0,65.5
B072S217WP,BEST_DEAL,N,N,-46.064516129032256,36.0,16.8,10.5,7.83,0.3,0.25,0.13,90.0,72.0,85.0
B01N5VB5LB,BEST_DEAL,Y,N,-259.19354838709677,41.0,51.43,17.38,73.23,0.33,0.12,0.53,270.0,229.0,224.0
B09VYF3GD5,BEST_DEAL,N,Y,5.322580645161281,-27.0,27.6,27.38,70.3,0.5,0.5,1.27,72.0,72.0,81.0
B09VYHX875,BEST_DEAL,N,Y,292.6451612903227,0.0,120.11,158.67,156.81,1.17,1.75,1.57,136.0,136.0,147.0
